Choa Chu Kang LRT Station,1.384755411,103.7445377,CHOA CHU KANG AVENUE 4,CHOA CHU KANG LRT STATION (BP1),15 CHOA CHU KANG AVENUE 4 CHOA CHU KANG LRT STATION SINGAPORE 689813,689813
South View LRT Station,1.380298287,103.7452918,CHOA CHU KANG WAY,SOUTH VIEW LRT STATION (BP2),50 CHOA CHU KANG WAY SOUTH VIEW LRT STATION SINGAPORE 688265,688265
Keat Hong LRT Station,1.378603251,103.7490557,CHOA CHU KANG WAY,KEAT HONG LRT STATION (BP3),30 CHOA CHU KANG WAY KEAT HONG LRT STATION SINGAPORE 688266,688266
Teck Whye LRT Station,1.376684679,103.7537122,CHOA CHU KANG WAY,TECK WHYE LRT STATION (BP4),10 CHOA CHU KANG WAY TECK WHYE LRT STATION SINGAPORE 688267,688267
Phoenix LRT Station,1.378615451,103.7579956,CHOA CHU KANG ROAD,PHOENIX LRT STATION (BP5),40 CHOA CHU KANG ROAD PHOENIX LRT STATION SINGAPORE 689483,689483
Bukit Panjang LRT Station,1.377926946,103.7631029,PETIR ROAD,BUKIT PANJANG LRT STATION (BP6),11 PETIR ROAD BUKIT PANJANG LRT STATION SINGAPORE 678268,678268
Petir LRT Station,1.377772043,103.7666458,PETIR ROAD,PETIR LRT STATION (BP7),31 PETIR ROAD PETIR LRT STATION SINGAPORE 678269,678269
Pending LRT Station,1.376135743,103.7712612,PENDING ROAD,PENDING LRT STATION (BP8),9 PENDING ROAD PENDING LRT STATION SINGAPORE 678296,678296
Bangkit LRT Station,1.38002223,103.7726474,BUKIT PANJANG RING ROAD,BANGKIT LRT STATION (BP9),20 BUKIT PANJANG RING ROAD BANGKIT LRT STATION SINGAPORE 679939,679939
Fajar LRT Station,1.384573177,103.7708872,FAJAR ROAD,FAJAR LRT STATION (BP10),40 FAJAR ROAD FAJAR LRT STATION SINGAPORE 679004,679004
Segar LRT Station,1.387785087,103.7695997,BUKIT PANJANG RING ROAD,SEGAR LRT STATION (BP11),50 BUKIT PANJANG RING ROAD SEGAR LRT STATION SINGAPORE 679940,679940
Jelapang LRT Station,1.38673927,103.7645341,BUKIT PANJANG RING ROAD,JELAPANG LRT STATION (BP12),70 BUKIT PANJANG RING ROAD JELAPANG LRT STATION SINGAPORE 679941,679941
Senja LRT Station,1.382725471,103.7623443,BUKIT PANJANG RING ROAD,SENJA LRT STATION (BP13),90 BUKIT PANJANG RING ROAD SENJA LRT STATION SINGAPORE 679942,679942
Sengkang LRT Station,1.391609364,103.8954426,SENGKANG SQUARE,SENGKANG LRT STATION (STC),5 SENGKANG SQUARE SENGKANG LRT STATION SINGAPORE 545062,545062
Compassvale LRT Station,1.394493045,103.9004925,COMPASSVALE STREET,COMPASSVALE LRT STATION (SE1),10 COMPASSVALE STREET COMPASSVALE LRT STATION SINGAPORE 545055,545055
Rumbia LRT Station,1.391468495,103.9059736,RIVERVALE DRIVE,RUMBIA LRT STATION (SE2),70 RIVERVALE DRIVE RUMBIA LRT STATION SINGAPORE 545054,545054
Bakau LRT Station,1.387994311,103.9054153,RIVERVALE DRIVE,BAKAU LRT STATION (SE3),50 RIVERVALE DRIVE BAKAU LRT STATION SINGAPORE 545053,545053
