MRT,Latitude,Longitude,Road_name,Building,Address,Postal
Jurong East MRT Station,1.333152816,103.7422863,JURONG EAST STREET 12,JURONG EAST MRT STATION (EW24 / NS1),10 JURONG EAST STREET 12 JURONG EAST MRT STATION SINGAPORE 609690,609690
Bukit Batok MRT Station,1.349033312,103.7495665,BUKIT BATOK CENTRAL,BUKIT BATOK MRT STATION (NS2),10 BUKIT BATOK CENTRAL BUKIT BATOK MRT STATION SINGAPORE 659958,659958
Bukit Gombak MRT Station,1.358611591,103.7517909,BUKIT BATOK WEST AVENUE 5,BUKIT GOMBAK MRT STATION (NS3),802 BUKIT BATOK WEST AVENUE 5 BUKIT GOMBAK MRT STATION SINGAPORE 659083,659083
Choa Chu Kang MRT Station,1.385363165,103.7443708,CHOA CHU KANG AVENUE 4,CHOA CHU KANG MRT STATION (NS4),10 CHOA CHU KANG AVENUE 4 CHOA CHU KANG MRT STATION SINGAPORE 689810,689810
Yew Tee MRT Station,1.397535069,103.7474052,CHOA CHU KANG DRIVE,YEW TEE MRT STATION (NS5),61 CHOA CHU KANG DRIVE YEW TEE MRT STATION SINGAPORE 689715,689715
Kranji MRT Station,1.425086981,103.7621375,WOODLANDS ROAD,KRANJI MRT STATION (NS7),960 WOODLANDS ROAD KRANJI MRT STATION SINGAPORE 738702,738702
Marsiling MRT Station,1.432521149,103.7740746,WOODLANDS AVENUE 3,MARSILING MRT STATION (NS8),71 WOODLANDS AVENUE 3 MARSILING MRT STATION SINGAPORE 739044,739044
Woodlands MRT Station,1.436057617,103.7879388,WOODLANDS SQUARE,WOODLANDS MRT STATION (TE2),11 WOODLANDS SQUARE WOODLANDS MRT STATION SINGAPORE 737736,737736
Admiralty MRT Station,1.44058852,103.8009905,WOODLANDS AVENUE 7,ADMIRALTY MRT STATION (NS10),70 WOODLANDS AVENUE 7 ADMIRALTY MRT STATION SINGAPORE 738344,738344
Sembawang MRT Station,1.449050822,103.8200461,CANBERRA ROAD,SEMBAWANG MRT STATION (NS11),11 CANBERRA ROAD SEMBAWANG MRT STATION SINGAPORE 759775,759775
Canberra MRT Station,1.443076641,103.8297026,CANBERRA LINK,CANBERRA MRT STATION (NS12),11 CANBERRA LINK CANBERRA MRT STATION SINGAPORE 756972,756972
Yishun MRT Station,1.429443085,103.835005,YISHUN AVENUE 2,YISHUN MRT STATION (NS13),301 YISHUN AVENUE 2 YISHUN MRT STATION SINGAPORE 769093,769093
Khatib MRT Station,1.41738337,103.8329799,YISHUN AVENUE 2,KHATIB MRT STATION (NS14),201 YISHUN AVENUE 2 KHATIB MRT STATION SINGAPORE 769092,769092
Yio Chu Kang MRT Station,1.381755871,103.8449473,ANG MO KIO AVENUE 8,YIO CHU KANG MRT STATION (NS15),3000 ANG MO KIO AVENUE 8 YIO CHU KANG MRT STATION SINGAPORE 569813,569813
Ang Mo Kio MRT Station,1.36993285,103.8495581,ANG MO KIO AVENUE 8,ANG MO KIO MRT STATION,2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION SINGAPORE 569812,569812
Bishan MRT Station,1.351018898,103.8500572,BISHAN PLACE,BISHAN MRT STATION,17 BISHAN PLACE BISHAN MRT STATION SINGAPORE 579842,579842
Braddell MRT Station,1.340105207,103.8467559,LORONG 1 TOA PAYOH,BRADDELL MRT STATION,377 LORONG 1 TOA PAYOH BRADDELL MRT STATION SINGAPORE 319756,319756
Toa Payoh MRT Station,1.332629281,103.8475022,LORONG 6 TOA PAYOH,TOA PAYOH MRT STATION (NS19),510 LORONG 6 TOA PAYOH TOA PAYOH MRT STATION SINGAPORE 319398,319398
Novena MRT Station,1.320440791,103.8438256,THOMSON ROAD,NOVENA MRT STATION (NS20),250 THOMSON ROAD NOVENA MRT STATION SINGAPORE 307642,307642
Newton MRT Station,1.312570317,103.8380316,SCOTTS ROAD,NEWTON MRT STATION,49 SCOTTS ROAD NEWTON MRT STATION SINGAPORE 228234,228234
Orchard MRT Station,1.303979934,103.8322453,ORCHARD ROAD,ORCHARD MRT STATION (NS22),437 ORCHARD ROAD ORCHARD MRT STATION SINGAPORE 238878,238878
Somerset MRT Station,1.300252877,103.8391583,SOMERSET ROAD,SOMERSET MRT STATION,1 SOMERSET ROAD SOMERSET MRT STATION SINGAPORE 238162,238162
Dhoby Ghaut MRT Station,1.298701325,103.8461137,ORCHARD ROAD,DHOBY GHAUT MRT STATION (NS24),11 ORCHARD ROAD DHOBY GHAUT MRT STATION SINGAPORE 238826,238826
City Hall MRT Station,1.292989907,103.8525426,NORTH BRIDGE ROAD,CITY HALL MRT STATION,150 NORTH BRIDGE ROAD CITY HALL MRT STATION SINGAPORE 179100,179100
Raffles Place MRT Station,1.283933262,103.8514631,RAFFLES PLACE,RAFFLES PLACE MRT STATION,5 RAFFLES PLACE RAFFLES PLACE MRT STATION SINGAPORE 048618,48618
Marina Bay MRT Station,1.276311144,103.854605,PARK STREET,MARINA BAY MRT STATION,21 PARK STREET MARINA BAY MRT STATION SINGAPORE 018925,18925
Marina South Pier MRT Station,1.271027036,103.8624475,MARINA COASTAL DRIVE,MARINA SOUTH PIER MRT STATION (NS28),33 MARINA COASTAL DRIVE MARINA SOUTH PIER MRT STATION SINGAPORE 018948,18948
Pasir Ris MRT Station,1.373043316,103.9492845,PASIR RIS CENTRAL,PASIR RIS MRT STATION (EW1),10 PASIR RIS CENTRAL PASIR RIS MRT STATION SINGAPORE 519634,519634
Tampines MRT Station,1.355150411,103.9430099,TAMPINES CENTRAL 1,TAMPINES MRT STATION (DT32),15 TAMPINES CENTRAL 1 TAMPINES MRT STATION SINGAPORE 529544,529544
Simei MRT Station,1.343197079,103.9533772,SIMEI STREET 3,SIMEI MRT STATION (EW3),30 SIMEI STREET 3 SIMEI MRT STATION SINGAPORE 529888,529888
Tanah Merah MRT Station,1.327187291,103.9463486,NEW UPPER CHANGI ROAD,TANAH MERAH MRT STATION (EW4),920 NEW UPPER CHANGI ROAD TANAH MERAH MRT STATION SINGAPORE 467356,467356
Bedok MRT Station,1.320401487,103.9571838,NEW UPPER CHANGI ROAD,SUNGEI BEDOK MRT STATION (TE31 / DT37),315 NEW UPPER CHANGI ROAD BEDOK MRT STATION SINGAPORE 467347,467347
Kembangan MRT Station,1.321038134,103.9129479,SIMS AVENUE EAST,KEMBANGAN MRT STATION (EW6),55 SIMS AVENUE EAST KEMBANGAN MRT STATION SINGAPORE 416551,416551
Eunos MRT Station,1.319783548,103.9032258,EUNOS CRESCENT,EUNOS MRT STATION (EW7),30 EUNOS CRESCENT EUNOS MRT STATION SINGAPORE 409423,409423
Paya Lebar MRT Station,1.317247385,103.8922608,PAYA LEBAR ROAD,PAYA LEBAR MRT STATION (CC9),15 PAYA LEBAR ROAD PAYA LEBAR MRT STATION SINGAPORE 409049,409049
Aljunied MRT Station,1.316432612,103.882906,LORONG 25 GEYLANG,ALJUNIED MRT STATION (EW9),81 LORONG 25 GEYLANG ALJUNIED MRT STATION SINGAPORE 388310,388310
Kallang MRT Station,1.31148891,103.8713865,SIMS AVENUE,KALLANG MRT STATION (EW10),5 SIMS AVENUE KALLANG MRT STATION SINGAPORE 387405,387405
Lavender MRT Station,1.307391879,103.8627846,KALLANG ROAD,LAVENDER MRT STATION,50 KALLANG ROAD LAVENDER MRT STATION SINGAPORE 208699,208699
Bugis MRT Station,1.300464463,103.8557061,VICTORIA STREET,BUGIS MRT STATION,320 VICTORIA STREET BUGIS MRT STATION SINGAPORE 188045,188045
Tanjong Pagar MRT Station,1.276561317,103.8457252,MAXWELL ROAD,TANJONG PAGAR MRT STATION (EW15),120 MAXWELL ROAD TANJONG PAGAR MRT STATION SINGAPORE 069119,69119
Outram Park MRT Station,1.280241533,103.8400521,EU TONG SEN STREET,OUTRAM PARK MRT STATION,300 EU TONG SEN STREET OUTRAM PARK MRT STATION SINGAPORE 059816,59816
Tiong Bahru MRT Station,1.286194579,103.8269989,TIONG BAHRU ROAD,TIONG BAHRU MRT STATION,300 TIONG BAHRU ROAD TIONG BAHRU MRT STATION SINGAPORE 168731,168731
Redhill MRT Station,1.289634534,103.816741,TIONG BAHRU ROAD,REDHILL MRT STATION (EW18),920 TIONG BAHRU ROAD REDHILL MRT STATION SINGAPORE 158792,158792
Queenstown MRT Station,1.294550852,103.8060772,COMMONWEALTH AVENUE,QUEENSTOWN MRT STATION (EW19),301 COMMONWEALTH AVENUE QUEENSTOWN MRT STATION SINGAPORE 149729,149729
